x,u,nu
0.93,0.5,0.001
0.931,0.5,0.001
0.932,0.5,0.001
0.933,0.5,0.001
0.934,0.5,0.001
0.935,0.5,0.001
0.936,0.5,0.001
0.937,0.5,0.001
0.938,0.5,0.001
0.939,0.5,0.001
0.94,0.5,0.001
0.941,0.5,0.001
0.942,0.5,0.001
0.943,0.5,0.001
0.944,0.5,0.001
0.945,0.5,0.001
0.946,0.5,0.001
0.947,0.5,0.001
0.948,0.5,0.001
0.949,0.5,0.001
0.95,0.5,0.001
0.951,0.5,0.001
0.952,0.5,0.001
0.953,0.5,0.001
0.954,0.5,0.001
0.955,0.5,0.001
0.956,0.5,0.001
0.957,0.5,0.001
0.958,0.5,0.001
0.959,0.5,0.001
0.96,0.5,0.001
0.961,0.5,0.001
0.962,0.5,0.001
0.963,0.5,0.001
0.964,0.5,0.001
0.965,0.5,0.001
0.966,0.5,0.001
0.967,0.5,0.001
0.968,0.5,0.001
0.969,0.5,0.001
0.97,0.5,0.001
0.971,0.5,0.001
0.972,0.5,0.001
0.973,0.5,0.001
0.974,0.5,0.001
0.975,0.5,0.001
0.976,0.5,0.001
0.977,0.5,0.001
0.978,0.5,0.001
0.979,0.5,0.001
0.98,0.5,0.001
0.981,0.5,0.001
0.982,0.5,0.001
0.983,0.5,0.001
0.984,0.5,0.001
0.985,0.5,0.001
0.986,0.5,0.001
0.987,0.5,0.001
0.988,0.5,0.001
0.989,0.5,0.001
0.99,0.5,0.001
0.991,0.5,0.001
0.992,0.5,0.001
0.993,0.5,0.001
0.994,0.5,0.001
0.995,0.5,0.001
0.996,0.5,0.001
0.997,0.5,0.001
0.998,0.5,0.001
0.999,0.5,0.001
1,0.5,0.001
0,0.75,0.001
0.001,0.71891175,0.001
0.002,0.688770334,0.001
0.003,0.66041065,0.001
0.004,0.634470711,0.001
0.005,0.611350069,0.001
0.006,0.591212762,0.001
0.007,0.574023599,0.001
0.008,0.559601461,0.001
0.009,0.547674732,0.001
0.01,0.53792909,0.001
0.011,0.530043325,0.001
0.012,0.523712937,0.001
0.013,0.518663444,0.001
0.014,0.514656115,0.001
0.015,0.511488685,0.001
0.016,0.508993105,0.001
0.017,0.507031814,0.001
0.018,0.505493471,0.001
0.019,0.504288743,0.001
0.02,0.503346425,0.001
0.021,0.502610063,0.001
0.022,0.502035069,0.001
0.023,0.501586341,0.001
0.024,0.501236312,0.001
0.025,0.500963367,0.001
0.026,0.500750591,0.001
0.027,0.500584755,0.001
0.028,0.500455526,0.001
0.029,0.500354835,0.001
0.03,0.500276389,0.001
0.031,0.500215279,0.001
0.032,0.500167675,0.001
0.033,0.500130595,0.001
0.034,0.500101713,0.001
0.035,0.500079218,0.001
0.036,0.500061697,0.001
0.037,0.500048051,0.001
0.038,0.500037423,0.001
0.039,0.500029146,0.001
0.04,0.500022699,0.001
0.041,0.500017678,0.001
0.042,0.500013768,0.001
0.043,0.500010722,0.001
0.044,0.500008351,0.001
0.045,0.500006504,0.001
0.046,0.500005065,0.001
0.047,0.500003945,0.001
0.048,0.500003072,0.001
0.049,0.500002393,0.001
0.05,0.500001863,0.001
0.051,0.500001451,0.001
0.052,0.50000113,0.001
0.053,0.50000088,0.001
0.054,0.500000685,0.001
0.055,0.500000534,0.001
0.056,0.500000416,0.001
0.057,0.500000324,0.001
0.058,0.500000252,0.001
0.059,0.500000196,0.001
0.06,0.500000153,0.001
0.061,0.500000119,0.001
0.062,0.500000093,0.001
0.063,0.500000072,0.001
0.064,0.500000056,0.001
0.065,0.500000044,0.001
0.066,0.500000034,0.001
0.067,0.500000027,0.001
0.068,0.500000021,0.001
0.069,0.500000016,0.001
0.07,0.500000013,0.001
0.071,0.50000001,0.001
0.072,0.500000008,0.001
0.073,0.500000006,0.001
0.074,0.500000005,0.001
0.075,0.500000004,0.001
0.076,0.500000003,0.001
0.077,0.500000002,0.001
0.078,0.500000002,0.001
0.079,0.500000001,0.001
0.08,0.500000001,0.001
0.081,0.500000001,0.001
0.082,0.500000001,0.001
0.083,0.5,0.001
0.084,0.5,0.001
0.085,0.5,0.001
0.086,0.5,0.001
0.087,0.5,0.001
0.088,0.5,0.001
0.089,0.5,0.001
0.09,0.5,0.001
0.091,0.5,0.001
0.092,0.5,0.001
0.093,0.5,0.001
0.094,0.5,0.001
0.095,0.5,0.001
0.096,0.5,0.001
0.097,0.5,0.001
0.098,0.5,0.001
0.099,0.5,0.001
0.1,0.5,0.001
0.101,0.5,0.001
0.102,0.5,0.001
0.103,0.5,0.001
0.104,0.5,0.001
0.105,0.5,0.001
0.106,0.5,0.001
0.107,0.5,0.001
0.108,0.5,0.001
0.109,0.5,0.001
0.11,0.5,0.001
0.111,0.5,0.001
0.112,0.5,0.001
0.113,0.5,0.001
0.114,0.5,0.001
0.115,0.5,0.001
0.116,0.5,0.001
0.117,0.5,0.001
0.118,0.5,0.001
0.119,0.5,0.001
0.12,0.5,0.001
0.121,0.5,0.001
0.122,0.5,0.001
0.123,0.5,0.001
0.124,0.5,0.001
0.125,0.5,0.001
0.126,0.5,0.001
0.127,0.5,0.001
0.128,0.5,0.001
0.129,0.5,0.001
0.13,0.5,0.001
0.131,0.5,0.001
0.132,0.5,0.001
0.133,0.5,0.001
0.134,0.5,0.001
0.135,0.5,0.001
0.136,0.5,0.001
0.137,0.5,0.001
0.138,0.5,0.001
0.139,0.5,0.001
0.14,0.5,0.001
0.141,0.5,0.001
0.142,0.5,0.001
0.143,0.5,0.001
0.144,0.5,0.001
0.145,0.5,0.001
0.146,0.5,0.001
0.147,0.5,0.001
0.148,0.5,0.001
0.149,0.5,0.001
